OrderDateUTC,Order_year,Order_month,Orderweek,Haul,Brand/Channel,Policy_type,58%Insurance_Premium,Insurance_purch,Travix_booking,Travix_revenue
2017-01-01,2017,1,52,Long Haul,BUDGETAIR,Cancellation Insurance,96.70920000000001,2,2,108.70920000000001
2017-01-01,2017,1,52,Long Haul,BUDGETAIR,No insurance,0.0,0,84,0.0
2017-01-01,2017,1,52,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1142.5883999999999,27,27,1304.5883999999999
2017-01-01,2017,1,52,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,185,0.0
2017-01-01,2017,1,52,Long Haul,CHEAPTICKETSNL,Travel Insurance,98.89,3,3,116.89
2017-01-01,2017,1,52,Long Haul,VLIEGWINKEL,No insurance,0.0,0,38,0.0
2017-01-01,2017,1,52,Short Haul,BUDGETAIR,Cancellation Insurance,51.469199999999994,4,4,75.4692
2017-01-01,2017,1,52,Short Haul,BUDGETAIR,No insurance,0.0,0,95,0.0
2017-01-01,2017,1,52,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,650.9340000000001,36,36,866.934
2017-01-01,2017,1,52,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,446,0.0
2017-01-01,2017,1,52,Short Haul,CHEAPTICKETSNL,Travel Insurance,64.786,6,6,100.786
2017-01-01,2017,1,52,Short Haul,VLIEGWINKEL,Cancellation Insurance,32.166799999999995,2,2,44.166799999999995
2017-01-01,2017,1,52,Short Haul,VLIEGWINKEL,No insurance,0.0,0,63,0.0
2017-01-01,2017,1,52,Short Haul,VLIEGWINKEL,Travel Insurance,41.41199999999999,2,2,53.412
2017-01-02,2017,1,1,Long Haul,BUDGETAIR,Cancellation Insurance,243.56519999999998,8,8,291.56519999999995
2017-01-02,2017,1,1,Long Haul,BUDGETAIR,No insurance,0.0,0,107,0.0
2017-01-02,2017,1,1,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1866.1268,53,53,2184.1267999999995
2017-01-02,2017,1,1,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,274,0.0
2017-01-02,2017,1,1,Long Haul,CHEAPTICKETSNL,Travel Insurance,463.88400000000007,9,9,517.884
2017-01-02,2017,1,1,Long Haul,VLIEGWINKEL,Cancellation Insurance,299.3902,9,9,353.39019999999994
2017-01-02,2017,1,1,Long Haul,VLIEGWINKEL,No insurance,0.0,0,43,0.0
2017-01-02,2017,1,1,No Hual,CHEAPTICKETSNL,No insurance,0.0,0,2,0.0
2017-01-02,2017,1,1,Short Haul,BUDGETAIR,Cancellation Insurance,25.6708,3,3,43.6708
2017-01-02,2017,1,1,Short Haul,BUDGETAIR,No insurance,0.0,0,121,0.0
2017-01-02,2017,1,1,Short Haul,BUDGETAIR,Travel Insurance,14.615999999999998,1,1,20.616
2017-01-02,2017,1,1,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,863.5736000000002,62,62,1235.5735999999997
